21:15:02,28.16,29.13
21:15:04,34.37,30.64
21:15:06,22.57,27.45
21:15:08,30.58,32.46
21:15:10,24.61,34.92
21:15:12,23.14,28.15
21:15:14,22.17,22.42
21:15:16,30.35,32.16
21:15:18,28.54,24.59
21:15:20,28.31,30.33
21:15:22,24.69,34.91
21:15:24,34.84,29.60
21:15:26,22.48,34.23
21:15:28,24.16,23.27
21:15:30,22.74,23.32
21:15:32,25.57,22.09
21:15:34,21.55,25.40
21:15:36,26.20,34.07
21:15:38,26.41,31.18
21:15:40,31.27,20.51
21:15:42,26.86,23.03
21:15:44,30.97,34.13
21:15:46,29.90,20.17
21:15:48,21.91,27.01
21:15:50,23.85,23.52
21:15:52,24.52,26.04
21:15:54,28.45,28.12
21:15:56,28.10,23.56
21:15:58,27.17,21.28
21:16:00,29.53,22.07
21:16:02,32.34,23.57
21:16:04,30.04,32.03
21:16:06,34.81,27.36
21:16:08,26.92,27.96
21:16:10,33.45,25.31
21:16:12,26.73,20.27
21:16:14,21.94,29.42
21:16:16,24.79,34.85
21:16:18,27.48,28.07
21:16:20,28.86,33.67
21:16:22,21.76,24.30
21:16:26,30.22,27.04
21:16:28,31.27,20.10
21:16:30,21.27,23.88
21:16:32,31.79,34.65
21:16:34,31.59,33.50
21:16:37,31.43,31.34
21:16:38,31.43,31.61

sens1 desconectado e sens2 normal
21:16:24,-127,21.36
linha com o sens1 acima de 27 e sens2 abaixo de 17
21:16:24,31.66,15.37
